patients.address_found,patients.admitted_at,patients.admitted_by,patients.city_found,patients.clinical_signs,patients.common_name,patients.county_found,patients.diagnosis,patients.disposition,patients.found_at,patients.keywords,patients.lat_found,patients.lng_found,patients.name,patients.notes_about_rescue,patients.reason_for_disposition,patients.reasons_for_admission,patients.release_type,species.genus,species.species
959 Blue Mountain Road,2016-03-28 00:00:00,JA/JR,Front Royal,,Northern Cardinal,Warren County,D – Domestic animal attack,Released,2016-03-28,cat attack,-78.059698,38.976045,,,,found on the ground near cats,,Cardinalis,cardinalis
20333 Charter Oak Drive,2016-03-28 23:28:00,JA,Ashburn,,Eastern Gray Squirrel,Loudoun County,B- Baby,Released,2016-03-28,"B- Baby, suspected abduction",-77.515547,39.054417,,,,fell from nest,,Sciurus,carolinensis
7501 Elmores Lane,2016-03-29 23:28:00,JA,Warrenton,,Red Fox,Fauquier County,B- Baby,Released,2016-03-28,"B- Baby, Abandoned suspected",-77.732179,38.723456,,,,"found alone, covered in mud in horse barn on the farm",,Vulpes,vulpes
Route 287,2016-03-29 20:00:00,JB,Lovettsville,,Eastern Cottontail,,"M - Human, non-intentional",Euthanized in 24hr,2016-03-29,weed whacker,-77.643543,39.261286,,,,was hit by weed whacker,,Sylvilagus,floridanus
12817 Downey Mill Road,2016-03-29 20:00:00,JB,Lovettsville,,Eastern Cottontail,Loudoun County,D – Domestic animal attack,Released,2016-03-27,"B- Baby, dog attack, cat attack",39.25967,-77.596861,,,,feral cats dug out nest,,Sylvilagus,floridanus
12817 Downey Mill Road,2016-03-29 20:00:00,JB,Lovettsville,,Eastern Cottontail,Loudoun County,D - Domestic animal attack,Released,2016-03-27,"B- Baby, dog attack, cat attack",39.25967,-77.596861,,,,feral cats dug out nest,,Sylvilagus,floridanus
12817 Downey Mill Road,2016-03-29 20:00:00,JB,Lovettsville,,Eastern Cottontail,Loudoun County,D- Domestic animal attack,Released,2016-03-27,"B- Baby, dog attack, cat attack",39.25967,-77.596861,,,,feral cats dug out nest,,Sylvilagus,floridanus
12817 Downey Mill Road,2016-03-29 20:00:00,JB,Lovettsville,,Eastern Cottontail,Loudoun County,D- Domestic animal attack,Released,2016-03-27,"B- Baby, dog attack, cat attack",39.25967,-77.596861,,,,feral cats dug out nest,,Sylvilagus,floridanus
1602 Sadlers Wells Court,2016-03-30 20:15:00,JB/JR,Herndon,,Eastern Gray Squirrel,Fairfax County,D- Domestic animal attack,Released,2016-03-29,"B- Baby, cat attack",38.989133,-77.389828,,,,cat brought it in,,Sciurus,carolinensis
12487 Lord Fairfax Highway,2016-03-30 16:00:00,JB,Boyce,,Eastern Gray Squirrel,Clarke County,"M - human, non-intentional",Released,2016-03-28,"B- Baby, cut down tree, abduction",-78.064928,39.088924,,,,cut tree down and had babies in it; had for 2 days,,Sciurus,carolinensis
12487 Lord Fairfax Highway,2016-03-30 16:00:00,JB,Boyce,,Eastern Gray Squirrel,Clarke County,"M - human, non-intentional",Released,2016-03-28,"B- Baby, cut down tree, abduction",-78.064928,39.088924,,,,cut tree down and had babies in it; had for 2 days,,Sciurus,carolinensis
717 Cedar Creek Grade,2016-03-31 16:53:00,JR,Winchester,,Eastern Cottontail,,,Died +24hr,2016-03-31,,-78.189888,39.162962,,,,dog found nest,,Sylvilagus,floridanus
458 Winchester Street,2016-03-31 23:30:00,JB/JR,Warrenton,,Eastern Gray Squirrel,Fauquier County,T - Unknown trauma,Released,2016-03-31,B- Baby,-77.800638,38.724582,,,,unknown,,Sciurus,carolinensis
889 Lower Valley Road,2016-04-01 15:10:00,JA,Strasburg,,Eastern Gray Squirrel,Warren County,"M - Human, non-intentional",Died in 24hr,2016-04-01,"B- Baby, renesting not possible",-78.305175,38.960049,,,,found in car,,Sciurus,carolinensis
2831 James Drive,2016-04-01 23:39:00,JB,Alexandria,,Red Fox,Fairfax County,B- Baby,Released,2016-04-01,"B- Baby, abandoned",-77.080936,38.796176,,,,found in storm drain,,Vulpes,vulpes
unknown,2016-04-01 23:40:00,JB,Alexandria,,Red Fox,Alexandria city,B- Baby,Euthanized in 24hr,2016-07-12,"unknown history, potential rabies exposure",38.819853,-77.059645,,,requested by Fairfax County Health Dept for rabies testing,orphan,,Vulpes,vulpes
32 Woodland Avenue,2016-04-01 19:50:00,JB/JR,Luray,,Blue Jay,Page County,D- Domestic animal attack,Died +24hr,2016-04-01,cat attack,38.667755,-78.446816,,,,cat attack,,Cyanocitta,cristata
High Knob Road,2016-04-02 16:00:00,JB/JA,Front Royal,,Virginia Opossum,Warren County,"M - human, non-intentional",Released,2016-04-02,stuck in trash can,38.907975,-78.127366,,,,had been inside trash can for over 24 hours,,Didelphis,virginiana
4380 Midland Road,2016-04-02 23:45:00,JB,Midland,,Eastern Cottontail,Fauquier County,B- Baby,Released,2016-04-02,"B- Baby, abduction",38.568267,-77.669558,,,,dogs were after them,,Sylvilagus,floridanus
4380 Midland Road,2016-04-02 23:45:00,JB,Midland,,Eastern Cottontail,Fauquier County,B- Baby,Released,2016-04-02,"B- Baby, abduction",38.568267,-77.669558,,,,dogs were after them,,Sylvilagus,floridanus
300 Albin Drive,2016-04-02 22:15:00,JA,Stephens City,,Eastern Cottontail,Frederick County,D- Domestic animal attack,Euthanized in 24hr,2016-04-02,"B- Baby, cat attack",-78.187814,39.091585,,,too small to raise,cat brought them in from nest,,Sylvilagus,floridanus
300 Albin Drive,2016-04-02 22:15:00,JA,Stephens City,,Eastern Cottontail,Frederick County,D- Domestic animal attack,Euthanized in 24hr,2016-04-02,"B- Baby, cat attack",-78.187814,39.091585,,,too small to raise,cat brought them in from nest,,Sylvilagus,floridanus
3526 Ferry Run Road,2016-04-04 16:00:00,HS,Linden,,Mourning Dove,Fauquier County,B- Baby,Released,2016-04-03,"B- Baby, abduction",-78.04542,38.897935,,,,found in road,,Zenaida,macroura
113 Settler Circle,2016-04-04 18:40:00,JA,Winchester,,Eastern Gray Squirrel,Frederick County,B- Baby,Released,2016-04-04,"B- Baby, suspected orphan",-78.107492,39.182404,,,,"running right up to people, no parents present",,Sciurus,carolinensis
Washington Boulevard at the Pentagon,2016-04-04 00:00:00,JR/HS,Arlington,,Eastern Gray Squirrel,Arlington County,B- Baby,Released,2016-04-04,"B- Baby, cut down tree, abduction",38.885291,-77.125325,,,,"all trees in the area were removed, found nest in tree",,Sciurus,carolinensis
Washington Boulevard at the Pentagon,2016-04-04 00:00:00,JR/HS,Arlington,,Eastern Gray Squirrel,Arlington County,B- Baby,Released,2016-04-04,"B- Baby, cut down tree, abduction",38.885291,-77.125325,,,,"all trees in the area were removed, found nest in tree",,Sciurus,carolinensis
Washington Boulevard at the Pentagon,2016-04-04 00:00:00,JR/HS,Arlington,,Eastern Gray Squirrel,Arlington County,B- Baby,Released,2016-04-04,"B- Baby, cut down tree, abduction",38.885291,-77.125325,,,,"all trees in the area were removed, found nest in tree",,Sciurus,carolinensis
Washington Boulevard at the Pentagon,2016-04-04 00:00:00,JR/HS,Arlington,,Eastern Gray Squirrel,Arlington,B- Baby,Released,2016-04-04,"B- Baby, cut down tree, abduction",-77.780925,39.085712,,,,"all trees in the area were removed, found nest in tree",,Sciurus,carolinensis
Washington Boulevard at the Pentagon,2016-04-04 00:00:00,JR/HS,Arlington,,Eastern Gray Squirrel,Arlington County,B- Baby,Euthanized +24hr,2016-04-04,"B- Baby, cut down tree, abduction",38.885291,-77.125325,,,Poor Prognosis,"all trees in the area were removed, found nest in tree",,Sciurus,carolinensis
Washington Boulevard at the Pentagon,2016-04-04 23:50:00,JR/HS,Arlington,,Eastern Gray Squirrel,Arlington County,B- Baby,Released,2016-04-04,"B- Baby, cut down tree, abduction",38.885291,-77.125325,,,,"all trees in the area were removed, found nest in tree",,Sciurus,carolinensis
Washington Boulevard at the Pentagon,2016-04-04 00:00:00,JR/HS,Arlington,,Eastern Gray Squirrel,Arlington County,B- Baby,Released,2016-04-04,"B- Baby, cut down tree, abduction",38.885291,-77.125325,,,,"all trees in the area were removed, found nest in tree",,Sciurus,carolinensis
4951 Bakerton Road,2016-04-04 00:30:00,JR/JA,Harpers Ferry,,White-throated Sparrow,Jefferson County,D- Domestic animal attack,Euthanized in 24hr,2016-04-04,cat attack,39.376329,-77.756427,,,Poor Prognosis,"cat catch, hurt leg",,Zonotrichia,albicollis
unknown,2016-04-04 23:52:00,HS,unknown,,Eastern Gray Squirrel,,B- Baby,Released,2016-04-04,"B- Baby, confirmed orphan",,,,,,tearing down house and found dead mother squirrel with this one baby in attic,,Sciurus,carolinensis
510 Windy Ridge Road,2016-04-05 23:54:00,JB,Front Royal,,Eastern Cottontail,Warren County,D- Domestic animal attack,Died in 24hr,2016-04-04,cat attack,-78.161338,38.987926,,,,cat brought it in,,Sylvilagus,floridanus
15477 Eagle Tavern Lane,2016-04-05 23:50:00,JB,Centreville,,Eastern Gray Squirrel,Fairfax County,B- Baby,Released,2016-04-04,"B- Baby, suspected orphan",-77.486492,38.836976,,,,"abandoned by mother, dogs found, running up to people",,Sciurus,carolinensis
8259 Rockingham Road,2016-04-06 23:56:00,JR,Warrenton,,Virginia Opossum,Fauquier County,N - Natural event,Released,2016-04-05,"thin, maternal issues",-77.848595,38.773385,,,,not behaving normal,,Didelphis,virginiana
Hazard Mill Road,2016-04-06 23:57:00,JR,Bentonville,,Northern Raccoon,Warren County,I – Infectious disease,Died in 24hr,2016-04-06,rabies suspect,-78.340405,38.847926,,,,"found in road, believed hit by vehicle",,Procyon,lotor
3241 Atlanta Street,2016-04-07 23:58:00,HS,Fairfax,,Northern Raccoon,,I – Infectious disease,Euthanized in 24hr,2016-04-06,rabies suspect,-77.303065,38.866269,,,poor prognosis,injury to shoulder,,Procyon,lotor
181 Bass Lane,2016-04-07 23:59:00,JB,Winchester,,Eastern Gray Squirrel,Frederick County,B- Baby,Released,2016-04-03,"B- Baby, cut down tree, abduction",-78.189605,39.356879,,,,cut down the tree his nest was presumed to be in,Hard,Sciurus,carolinensis
6205 Point Circle,2016-04-07 00:00:00,HS,Centreville,,Eastern Gray Squirrel,Fairfax County,B- Baby,Died in 24hr,2016-04-06,"B- Baby, failed renesting, suspected orphan",-77.48056,38.849295,,,,"alone, ran up to them, left out overnight",,Sciurus,carolinensis
1257 Pouts Hill Road,2016-04-07 00:01:00,JB,Strasburg,,Eastern Cottontail,Shenandoah County,D- Domestic animal attack,Died in 24hr,2016-04-07,dog attack,-78.343346,38.986891,,,,puppy found it and brought it to us,,Sylvilagus,floridanus
959 Blue Mountain Road,2016-04-08 00:02:00,JB,Front Royal,,Pine Siskin,Warren County,W - Window strike,Released,2016-04-08,,-78.059698,38.976045,,,,"window strike, saw water from nose",,Spinus,pinus
109 Liberty Street NW,2016-04-08 00:03:00,JB,Leesburg,,Eastern Cottontail,Loudoun County,D- Domestic animal attack,Released,2016-04-07,dog attack,-77.566383,39.117844,,,,"dog picked up, and it seemed stunned, would not move",,Sylvilagus,floridanus
PM Crockett Park parking lot,2016-04-08 00:04:00,JB,Midland,,Mallard,Fauquier County,B- Baby,Released,2016-04-08,"B- Baby, suspected abandoned or orphan",38.602592,-77.681065,,,,no parents around,,Anas,platyrhynchos
109 Landais Court,2016-04-08 00:05:00,JR,Stephens City,,Eastern Cottontail,Frederick County,D- Domestic animal attack,Dead on arrival,2016-04-08,dog attack,-78.163195,39.104426,,,,in dog's mouth,,Sylvilagus,floridanus
near Upperville,2016-04-08 00:06:00,JR,Upperville,,Eastern Gray Squirrel,Fauquier County,H - Hit by vehicle,Euthanized in 24hr,2016-04-08,,38.962661,-77.884726,,,,hit by a car,,Sciurus,carolinensis
8006 Hillside Drive,2016-04-08 00:08:00,JB,Middletown,,Eastern Cottontail,Frederick County,D- Domestic animal attack,Died in 24hr,2016-04-08,cat attack,-78.280794,39.023741,,,,cat attack,,Sylvilagus,floridanus
9001 Arlington Boulevard,2016-04-09 00:10:00,JA,Fairfax,,North American River Otter,Fairfax County,"M - Human, non-intentional",Transferred,2016-04-08,"B- Baby, nest destroyed, abandoned, failed renesting",-77.254267,38.863408,,,transferred to Suzanne McBride,mother's den in an abandoned trailer was being removed; she did not come back,,Lontra,canadensis
9001 Arlington Boulevard,2016-04-10 00:10:00,JA,Fairfax,,North American River Otter,Fairfax County,"M - Human, non-intentional",Transferred,2016-07-12,"B- Baby, nest destroyed, abandoned, failed renesting",38.864096,-77.253713,,,transferred to Suzanne McBride,mother's den in an abandoned trailer was being removed; she did not come back,,Lontra,canadensis
105 Katie Lane,2016-04-09 00:10:00,JB,Winchester,,Eastern Cottontail,Frederick County,D- Domestic animal attack,Died in 24hr,2016-04-08,cat attack,-78.246231,39.141179,,,,brought home by cat,,Sylvilagus,floridanus
10603 Vickers Drive,2016-04-10 00:11:00,JB,Vienna,,Red Fox,Fairfax County,B- Baby,Released,2016-04-10,"B- Baby, abandoned",-77.310385,38.911888,,,,"kit, no mom, seen in yard, shaking",,Vulpes,vulpes
1791 Castleman Road,2016-04-10 00:11:00,HS,Berryville,,Red Fox,Clarke County,B- Baby,Released,2016-04-10,"B- Baby, abandoned",-77.890776,39.150529,,,,"had seen mom and 2 babies at barn, in the last week has only seen this single kit, comes out from under the barn, whines and wags tail",,Vulpes,vulpes
ss,2016-07-13 00:11:00,ss,Ss,,Big Brown Bat,,,Released,2016-07-12,,37.522251,-78.668194,,,ready for release,ss,,Eptesicus,fuscus
9 Gloucester Road,2016-04-11 00:12:00,JR,Front Royal,,Eastern Cottontail,Warren County,D- Domestic animal attack,Released,2016-04-10,cat attack,38.911428,-78.179726,,,,cat got it and injured it,,Sylvilagus,floridanus
"Minnick Auto, 32 W Cecil Street",2016-04-11 00:13:00,JR,Winchester,,Eastern Gray Squirrel,Winchester city,"M - Human, non-intentional",Released,2016-04-11,motor oil,39.169668,-78.16856,,,,was found in Minnick's Care Repair,,Sciurus,carolinensis
Stone Springs Boulevard,2016-04-11 00:14:00,HS,Aldie,,Mallard,Loudoun County,,Released,2016-04-11,,38.929533,-77.549584,,,,"found in the road, unable to find mom",,Anas,platyrhynchos
Stone Springs Boulevard,2016-04-12 00:14:00,HS,Aldie,,Mallard,Loudoun County,B- Baby,Released,2016-04-11,"B- Baby, suspect abandoned",38.929533,-77.549584,,,,"found in the road, unable to find mom",,Anas,platyrhynchos
Stone Springs Boulevard,2016-04-12 00:14:00,HS,Aldie,,Mallard,Loudoun County,B- Baby,Released,2016-04-11,"B- Baby, suspect abandoned",38.929533,-77.549584,,,,"found in the road, unable to find mom",,Anas,platyrhynchos
,2016-04-12 00:15:00,JA/JR,Front Royal,,Eastern Cottontail,Warren County,D- Domestic animal attack,Euthanized in 24hr,2016-04-11,cat attack,-78.210807,38.935368,,,poor prognosis,was being attacked by cats,,Sylvilagus,floridanus
3778 Stonewall Jackson Highway,2016-04-12 00:16:00,JR,Front Royal,,Northern Raccoon,Warren County,T - Unknown trauma,Euthanized in 24hr,2016-04-12,,-78.277052,38.854576,,,prognosis determined to be extremely poor,brought in by Warren Count Animal Control,,Procyon,lotor
unknown,2016-04-12 00:17:00,JR/HS,Alexandria,,American Woodcock,Alexandria city,T - Unknown trauma,Died in 24hr,2016-04-11,head trauma,38.819853,-77.059645,,,,unknown,,Scolopax,minor
200 North Royal,2016-04-12 00:18:00,JR,Front Royal,,Groundhog,Warren County,H - Hit by vehicle,Euthanized +24hr,2016-04-12,suspected baylisascaris,-78.19413,38.921149,,,Poor Prognosis,could not walk,,Marmota,monax
2137 Swimley Road,2016-04-12 00:19:00,JB,Berryville,,Eastern Cottontail,Clarke County,D- Domestic animal attack,Released,2016-04-12,"B- Baby, dog attack, transferred to Jennifer Burghoffer",-78.022233,39.250981,,,,dogs had them in the front yard,,Sylvilagus,floridanus
2137 Swimley Road,2016-04-12 00:19:00,JB,Berryville,,Eastern Cottontail,Clarke County,D- Domestic animal attack,Released,2016-04-12,"B- Baby, dog attack, transferred to Jennifer Burghoffer",-78.022233,39.250981,,,,dogs had them in the front yard,,Sylvilagus,floridanus
2137 Swimley Road,2016-04-12 00:19:00,JB,Berryville,,Eastern Cottontail,Clarke County,D- Domestic animal attack,Released,2016-04-12,"B- Baby, dog attack, transferred to Jennifer Burghoffer",-78.022233,39.250981,,,,dogs had them in the front yard,,Sylvilagus,floridanus
12233 Elvan Road,2016-04-13 00:20:00,HS,Lovettsville,,Mourning Dove,Loudoun County,T - Unknown trauma,Died in 24hr,2016-04-12,B- Baby,-77.669168,39.276386,,,,"baby, injured",,Zenaida,macroura
178 Martz Drive,2016-04-13 00:21:00,JB,New Market,,Eastern Gray Squirrel,Shenandoah County,B- Baby,Died +24hr,2016-04-12,"B- Baby, fell from nest, abduction",-78.648642,38.687967,,,,probably blown out of nest from recent high winds,,Sciurus,carolinensis
191 Pleasant Lane,2016-04-13 00:23:00,JB,Berryville,,Eastern Cottontail,Clarke County,B- Baby,Released,2016-04-12,"B- Baby, abduction",-77.89286,39.16211,,,,"found my dog torturing one, found the other one while cleaning the yard",,Sylvilagus,floridanus
191 Pleasant Lane,2016-04-13 00:23:00,JB,Berryville,,Eastern Cottontail,Clarke County,B- Baby,Released,2016-04-12,"B- Baby, abduction",-77.89286,39.16211,,,,"found my dog torturing one, found the other one while cleaning the yard",,Sylvilagus,floridanus
101 West Main Street,2016-04-13 00:24:00,HS,Boyce,,Eastern Gray Squirrel,Clarke County,B- Baby,Died +24hr,2016-04-13,"B- Baby, suspected orphan",-78.061628,39.094205,,,,ran up my leg,,Sciurus,carolinensis
112 Overview Court,2016-04-14 00:24:00,JR,Stephens City,,Groundhog,Frederick County,D- Domestic animal attack,Euthanized in 24hr,2016-04-14,dog attack,-78.213028,39.07766,,,,dog attack,,Marmota,monax
800 Armistead Street,2016-04-15 00:25:00,JB,Winchester,,Eastern Cottontail,Frederick County,D- Domestic animal attack,Died in 24hr,2016-04-14,cat attack,39.178243,-78.188752,,,,unknown,,Sylvilagus,floridanus
1511 South Braddock Street,2016-04-15 00:26:00,JB,Winchester,,Virginia Opossum,,"M - human, non-intentional",Released,2016-04-15,"B- Baby, caught in fence",-78.172426,39.171516,,,,stuck in fencing of bush,,Didelphis,virginiana
"Main Street, north side of St. Louis Road",2016-04-15 00:27:00,JB,Middleburg,,Red-headed Woodpecker,Louisa County,H - Hit by vehicle,Released,2016-04-15,,38.026758,-78.004605,,,,hit by vehicle,,Melanerpes,erythrocephalus
440 Mountain Brook Lane,2016-04-16 00:28:00,JB,Bentonville,,American Mink,Warren County,B- Baby,Euthanized +24hr,2016-04-15,B- Baby,38.833455,-78.291185,,,,"found above ground, no mother around",,Mustela,vison
440 Mountain Brook Lane,2016-04-16 00:28:00,JB,Bentonville,,American Mink,Warren County,B- Baby,Transferred,2016-04-15,"B- Baby, transferred to Jennifer Burghoffer",38.833455,-78.291185,,,,"found above ground, no mother around",,Mustela,vison
379 Western View Drive,2016-04-16 00:29:00,JA,Middletown,,House Sparrow,Frederick County,X - Invasive,Euthanized in 24hr,2016-04-16,,-78.28922,39.058751,,,invasive,laying on ground by bird feeder,,Passer,domesticus
316 Copperfield Lane,2016-04-16 00:30:00,--,Winchester,,House Sparrow,Frederick County,X - Invasive,Euthanized in 24hr,2016-04-16,,-78.129331,39.180125,,,invasive,found him on front porch,,Passer,domesticus
221 Well Drillers Lane,2016-04-16 00:31:00,JA,Winchester,,Eastern Gray Squirrel,Frederick County,B- Baby,Died +24hr,2016-04-16,"B- Baby, suspected abduction",-78.188917,39.318225,,,,found in yard,,Sciurus,carolinensis
3838 Shepherds Mill Road,2016-04-16 00:31:00,JB/JA,Berryville,,Great Horned Owl,Clarke County,T - Unknown trauma,Died in 24hr,2016-04-16,B- Baby,-77.915389,39.18396,,,,"hurt in cow pasture, near to tree",,Bubo,virginianus
